N,dim,fit_intercept,lib,max,max3,mean,median,method,min,min3,repeat
10,100,True,skl,0.00012022998998872936,9.459798457100987e-05,7.930602936539799e-05,7.7066506491974e-05,predict,7.44700082577765e-05,7.651501800864935e-05,100
10,100,True,skl,0.00011924997670575976,0.00011660400195978582,9.5464849146083e-05,9.34839918045327e-05,predict_proba,9.024800965562463e-05,9.052900713868439e-05,100
10,100,True,ort,0.00010991300223395228,4.807801451534033e-05,4.028159921290353e-05,3.8540485547855496e-05,predict,3.7824996979907155e-05,3.8012018194422126e-05,100
10,100,True,ort,6.930300150997937e-05,6.892599049024284e-05,5.2847920451313256e-05,5.127349868416786e-05,predict_proba,4.929598071612418e-05,4.9591995775699615e-05,100
1,100,False,skl,0.0001773209951352328,9.697600034996867e-05,7.809597824234515e-05,7.334350084420294e-05,predict,7.264100713655353e-05,7.273798109963536e-05,100
1,100,False,skl,0.00012306799180805683,0.00011350601562298834,9.338389005279168e-05,9.170848352368921e-05,predict_proba,8.860498201102018e-05,8.8744011009112e-05,100
1,100,False,ort,0.00011914697824977338,4.239598638378084e-05,3.37727990699932e-05,3.150998963974416e-05,predict,3.09100141748786e-05,3.1167990528047085e-05,100
1,100,False,ort,4.960800288245082e-05,4.2857020162045956e-05,3.5482841194607314e-05,3.354399814270437e-05,predict_proba,3.323701093904674e-05,3.329099854454398e-05,100
10,100,False,skl,0.00013394400593824685,9.947500075213611e-05,7.9455049126409e-05,7.508500129915774e-05,predict,7.420100155286491e-05,7.46040022931993e-05,100
10,100,False,skl,0.0001273929956369102,0.00011551901116035879,9.546945977490396e-05,9.396800305694342e-05,predict_proba,9.122100891545415e-05,9.152598795481026e-05,100
10,100,False,ort,0.0001405990042258054,4.698400152847171e-05,4.028862895211205e-05,3.855250542983413e-05,predict,3.733602352440357e-05,3.759801620617509e-05,100
10,100,False,ort,6.9348985562101e-05,6.711401510983706e-05,5.197770951781422e-05,4.9791502533480525e-05,predict_proba,4.923998494632542e-05,4.94130072183907e-05,100
1,150,True,skl,0.00017143102013505995,9.65830113273114e-05,7.781373016769067e-05,7.454349542967975e-05,predict,7.284499588422477e-05,7.297101547010243e-05,100
1,150,True,skl,0.00011497698142193258,0.00011060302495025098,9.213073208229617e-05,8.947850437834859e-05,predict_proba,8.85319896042347e-05,8.869700832292438e-05,100
1,150,True,ort,0.0001072819868568331,4.171798354946077e-05,3.34361896966584e-05,3.232600283809006e-05,predict,3.115201252512634e-05,3.130800905637443e-05,100
1,150,True,ort,5.591197987087071e-05,4.467600956559181e-05,3.510037873638794e-05,3.454399120528251e-05,predict_proba,3.352301428094506e-05,3.357999958097935e-05,100
10,150,True,skl,0.00011041000834666193,0.0001023439981509,7.923026045318693e-05,7.739300781395286e-05,predict,7.483601802960038e-05,7.496998296119273e-05,100
10,150,True,skl,0.00012549699749797583,0.0001186709851026535,9.523282118607312e-05,9.359649266116321e-05,predict_proba,9.077400318346918e-05,9.088698425330222e-05,100
10,150,True,ort,0.00010888100950978696,5.770599818788469e-05,4.165882070083171e-05,3.9078498957678676e-05,predict,3.8255006074905396e-05,3.850398934446275e-05,100
10,150,True,ort,7.638600072823465e-05,6.986301741562784e-05,5.3530520235653964e-05,5.217701254878193e-05,predict_proba,5.1812006859108806e-05,5.186800262890756e-05,100
1,150,False,skl,0.00016864799545146525,0.00010000000474974513,7.755728176562116e-05,7.335800910368562e-05,predict,7.251198985613883e-05,7.29160092305392e-05,100
1,150,False,skl,0.00012036500265821815,0.00011645798804238439,9.346389037091285e-05,8.953899668995291e-05,predict_proba,8.874697959981859e-05,8.897398947738111e-05,100
1,150,False,ort,9.989200043492019e-05,4.8641988541930914e-05,3.397848049644381e-05,3.150847624056041e-05,predict,3.114601713605225e-05,3.1234987545758486e-05,100
1,150,False,ort,5.1091978093609214e-05,4.521600203588605e-05,3.544932143995538e-05,3.383550210855901e-05,predict_proba,3.334402572363615e-05,3.355398075655103e-05,100
10,150,False,skl,0.00010229801409877837,0.00010164998820982873,7.876238028984516e-05,7.533050666097552e-05,predict,7.459201151505113e-05,7.482399814762175e-05,100
10,150,False,skl,0.00011814699973911047,0.00011708401143550873,9.50801302678883e-05,9.110949758905917e-05,predict_proba,9.043599129654467e-05,9.064597543329e-05,100
10,150,False,ort,6.501699681393802e-05,4.821800393983722e-05,4.074630996910855e-05,3.870799264404923e-05,predict,3.8380996556952596e-05,3.8444006349891424e-05,100
10,150,False,ort,7.382899639196694e-05,6.567302625626326e-05,5.28872711583972e-05,5.086400778964162e-05,predict_proba,5.045000580139458e-05,5.058801616542041e-05,100
